week_label,week_end_date,close_price
2014-Q1,2014-03-31,453.37000000
2014-Q2,2014-06-30,636.86000000
2014-Q3,2014-09-30,386.01000000
2014-Q4,2014-12-31,316.89000000
2015-Q1,2015-03-31,245.01400000
2015-Q2,2015-06-30,263.05400000
2015-Q3,2015-09-30,236.64700000
2015-Q4,2015-12-31,430.49600000
2016-Q1,2016-03-31,416.09500000
2016-Q2,2016-06-30,667.78000000
2016-Q3,2016-09-30,605.62000000
2016-Q4,2016-12-30,960.52300000
2017-Q1,2017-03-31,1076.89000000
2017-Q2,2017-06-30,2545.82000000
2017-Q3,2017-09-29,4166.67000000
2017-Q4,2017-12-29,14368.00000000
2018-Q1,2018-03-30,6816.63000000
2018-Q2,2018-06-29,5882.35000000
2018-Q3,2018-09-28,6675.57000000
2018-Q4,2018-12-31,3728.56000000
2019-Q1,2019-03-29,4101.72000000
2019-Q2,2019-06-28,12315.00000000
2019-Q3,2019-09-30,8271.30000000
2019-Q4,2019-12-31,7194.24000000
2020-Q1,2020-03-31,6459.95000000
2020-Q2,2020-06-30,9165.90000000
2020-Q3,2020-09-30,10709.00000000
2020-Q4,2020-12-31,29170.00000000
2021-Q1,2021-03-31,58962.00000000
2021-Q2,2021-06-30,34796.00000000
2021-Q3,2021-09-30,43752.00000000
2021-Q4,2021-12-31,45933.00000000
2022-Q1,2022-03-31,45775.00000000
2022-Q2,2022-06-30,18797.20000000
2022-Q3,2022-09-30,19473.30000000
2022-Q4,2022-12-30,16590.70000000
2023-Q1,2023-03-31,28441.60000000
2023-Q2,2023-06-30,30377.20000000
2023-Q3,2023-09-29,26918.50000000
2023-Q4,2023-12-29,42025.10000000
2024-Q1,2024-03-28,70863.10000000
2024-Q2,2024-06-28,60064.00000000
2024-Q3,2024-09-30,63686.50000000
2024-Q4,2024-12-31,93315.70000000
2025-Q1,2025-03-31,82519.10000000
2025-Q2,2025-06-30,107173.00000000
2025-Q3,2025-09-30,114232.00000000
2025-Q4,2025-12-31,87623.20000000
2026-Q1,2026-02-13,66056.70000000
