week_label,week_end_date,close_price
2014-W01,2014-01-03,814.73000000
2014-W02,2014-01-10,865.20000000
2014-W03,2014-01-17,804.38000000
2014-W04,2014-01-24,802.18000000
2014-W05,2014-01-31,822.57000000
2014-W06,2014-02-07,725.37000000
2014-W07,2014-02-14,653.89000000
2014-W08,2014-02-21,567.67000000
2014-W09,2014-02-28,560.95000000
2014-W10,2014-03-07,629.33000000
2014-W11,2014-03-14,630.56000000
2014-W12,2014-03-21,580.99000000
2014-W13,2014-03-28,493.68000000
2014-W14,2014-04-04,446.35000000
2014-W15,2014-04-11,416.63000000
2014-W16,2014-04-18,479.62000000
2014-W17,2014-04-25,456.20000000
2014-W18,2014-05-02,445.73000000
2014-W19,2014-05-09,445.99000000
2014-W20,2014-05-16,446.87000000
2014-W21,2014-05-23,524.85000000
2014-W22,2014-05-30,608.79000000
2014-W23,2014-06-06,649.31000000
2014-W24,2014-06-13,588.44000000
2014-W25,2014-06-20,590.49000000
2014-W26,2014-06-27,587.30000000
2014-W27,2014-07-04,631.11000000
2014-W28,2014-07-11,630.52000000
2014-W29,2014-07-18,624.61000000
2014-W30,2014-07-25,599.41000000
2014-W31,2014-08-01,596.91000000
2014-W32,2014-08-08,591.44000000
2014-W33,2014-08-15,492.56000000
2014-W34,2014-08-22,512.95000000
2014-W35,2014-08-29,508.70000000
2014-W36,2014-09-05,481.90000000
2014-W37,2014-09-12,472.68000000
2014-W38,2014-09-19,395.98000000
2014-W39,2014-09-26,402.29000000
2014-W40,2014-10-03,359.93000000
2014-W41,2014-10-10,355.34000000
2014-W42,2014-10-17,378.33000000
2014-W43,2014-10-24,355.70000000
2014-W44,2014-10-31,340.06000000
2014-W45,2014-11-07,341.97000000
2014-W46,2014-11-14,392.68000000
2014-W47,2014-11-21,351.38000000
2014-W48,2014-11-28,378.57000000
2014-W49,2014-12-05,376.45000000
2014-W50,2014-12-12,353.17000000
2014-W51,2014-12-19,313.69000000
2014-W52,2014-12-26,326.76000000
2015-W01,2015-01-02,315.03000000
2015-W02,2015-01-09,290.18000000
2015-W03,2015-01-16,207.09000000
2015-W04,2015-01-23,234.02000000
2015-W05,2015-01-30,229.65000000
2015-W06,2015-02-06,223.97000000
2015-W07,2015-02-13,237.33000000
2015-W08,2015-02-20,242.17000000
2015-W09,2015-02-27,254.38000000
2015-W10,2015-03-06,273.11000000
2015-W11,2015-03-13,288.96000000
2015-W12,2015-03-20,260.76000000
2015-W13,2015-03-27,248.32000000
2015-W14,2015-04-03,253.33000000
2015-W15,2015-04-10,235.11000000
2015-W16,2015-04-17,223.49000000
